sim_index,success,n_nodes,n_elems,coverage_percent,almen_MPa,V,D_mm,n_shots,pattern_mode,elapsed_s,error
377,True,2601,2500,66.09280824530389,-2574.030848,36.043110519677676,0.5545385373822795,101,bimodal,2.9042877000174485,
378,True,2601,2500,40.50558433911959,-2103.408128,44.7531599022839,0.3921328999233215,72,uniform,2.2363021000055596,
379,True,2601,2500,78.23878086752161,-3935.226368,46.633720033357335,0.7019481900062242,62,bimodal,2.2256343999761157,
380,True,2601,2500,17.3222544203682,-1464.19968,32.612964624877684,0.31820826023245813,85,sparse,2.7341631000163034,
381,True,2601,2500,81.10525054730029,-3275.925504,53.26665848200529,0.9611947639262054,58,gradient,1.9809225000208244,
382,True,2601,2500,32.39543330388,-1424.331008,34.32236950397919,0.6676587115914032,42,sparse,1.3343381999875419,
383,True,2601,2500,43.094857524574124,-1656.436224,26.360479218291562,0.8651501587577313,47,random,1.4419349000090733,
384,True,2601,2500,72.15968879158324,-2723.209728,40.74178255648425,0.9738518360014082,48,sparse,1.5049182000220753,
385,True,2601,2500,84.40840629945777,-3641.768448,36.312281011514735,0.7086512391607271,100,sparse,3.1503897000220604,
386,True,2601,2500,22.932566545152355,-1566.939392,33.1398351005809,0.5593233368506817,40,random,1.4204195000347681,
387,True,2601,2500,23.62062849726708,-1867.90144,37.42891710663836,0.5596664567258789,29,sparse,0.9087573999422602,
388,True,2601,2500,61.0102474485641,-2325.34272,31.73124394086264,0.8999992137408196,59,bimodal,2.0823929000180215,
389,True,2601,2500,36.6620298497031,-2146.193152,25.339213710055343,0.6719399799935589,49,random,1.5530939000309445,
390,True,2601,2500,84.0189608171215,-3112.858112,47.20599266059174,0.9477778887969526,67,gradient,2.271241100039333,
391,True,2601,2500,33.37955540564044,-1318.053248,25.172337524377408,0.9556465479941022,24,random,0.8021820000139996,
392,True,2601,2500,46.864546025092956,-1811.243264,33.8066202442129,0.5944157542921767,92,uniform,3.053496800013818,
393,True,2601,2500,44.84657229256651,-2187.634432,38.31482234153678,0.49820707124317287,102,uniform,3.2088836999610066,
394,True,2601,2500,28.232888254713973,-2310.190336,52.81422642862158,0.3490961986491691,68,random,2.1713917999877594,
395,True,2601,2500,46.090905339615816,-2182.59584,27.539046787633264,0.7519011556706612,68,gradient,2.1550488999928348,
396,True,2601,2500,18.53884226489547,-1646.288512,38.3814052101801,0.4476422178584072,43,uniform,1.3448553000343964,
397,True,2601,2500,85.02224156497363,-3090.866432,40.00853737748208,0.855383111198957,87,bimodal,2.734517200035043,
398,True,2601,2500,83.34760985611693,-4486.371328,53.2017238535736,0.6246832182849374,109,gradient,3.3088750999886543,
399,True,2601,2500,74.24107756426075,-3601.804288,48.84588606391462,0.7976878793289043,60,gradient,1.8068940000375733,
400,True,2601,2500,21.667440986526852,-2260.609024,31.96845838397096,0.7282943352408787,26,bimodal,0.7505322999786586,
401,True,2601,2500,80.79879315623313,-3451.579392,49.26833151025734,0.5692385101564552,90,sparse,2.935689000005368,
402,True,2601,2500,92.47057940809992,-3908.557056,34.26806968061622,0.9081819481225437,96,bimodal,3.208232400007546,
403,True,2601,2500,94.61973032965409,-5074.436608,31.21625473097911,0.9562470764503388,111,sparse,3.7682177999522537,
404,True,2601,2500,67.40341583878389,-2515.009024,35.60165307189439,0.6166677137855673,92,gradient,2.836486199987121,
405,True,2601,2500,44.181306928044606,-3255.872256,56.06763768992667,0.4431340322444108,80,sparse,2.4572801999747753,
406,True,2601,2500,10.361671020162955,-1241.61984,27.57168843844385,0.3548251131900132,57,gradient,1.9794563999748789,
407,True,2601,2500,23.514404803201817,-1525.924864,30.597397184779766,0.4794198171426091,69,gradient,2.3808879000134766,
408,True,2601,2500,61.63738946010472,-2267.256576,45.96594728933725,0.4497037781405321,105,uniform,3.003389200021047,
409,True,2601,2500,68.31942561884739,-5174.729216,35.858795492591526,0.5481911078571431,88,sparse,2.935225800029002,
410,True,2601,2500,87.11213593496524,-4060.977408,40.96292768784262,0.9153812783197627,100,gradient,2.879392299975734,
411,True,2601,2500,25.133891102744933,-1549.975808,29.09872327522362,0.9302916697740654,21,random,0.755171499971766,
412,True,2601,2500,44.148859604706814,-2603.04384,49.55461005335195,0.650208411962692,27,uniform,0.8846834999858402,
413,True,2601,2500,57.344079519641426,-2226.135296,26.61771672888773,0.6403806582019095,66,uniform,2.2961131000192836,
414,True,2601,2500,30.395575884922344,-2080.991232,40.56921727362803,0.6834108779858025,26,gradient,0.6978900999529287,
415,True,2601,2500,65.14091396410629,-2150.945024,51.92662680928902,0.811907236493721,51,gradient,1.7733076000004075,
416,True,2601,2500,42.11092772499418,-1767.910016,25.0783454003205,0.6419171912844892,56,gradient,1.8100578999728896,
417,True,2601,2500,51.6146155914514,-2830.550528,58.34831488457787,0.6014751222019029,56,bimodal,1.8941194000071846,
418,True,2601,2500,57.84494003649867,-2239.342592,36.17294981227515,0.9927552467296358,25,bimodal,0.6868640000466257,
419,True,2601,2500,79.07754374419618,-2732.218624,59.13513185738228,0.8468814964110727,47,uniform,1.5036550000077114,
420,True,2601,2500,42.72413321138273,-2519.062016,52.20993654608323,0.9613134180858757,21,gradient,0.6611589000094682,
421,True,2601,2500,28.987316876225975,-1633.422976,31.379072462440952,0.4425732926217748,60,sparse,2.0165312999743037,
422,True,2601,2500,86.51327977199529,-3407.131392,46.660253173659314,0.7812923853056498,86,bimodal,2.650214200024493,
423,True,2601,2500,46.33593037544793,-2077.656832,45.97208021743229,0.6829462954700763,52,gradient,1.7773741999990307,
424,True,2601,2500,54.003579962305096,-2495.209472,51.05530107420489,0.4778826385737941,72,random,2.3239528000121936,
425,True,2601,2500,40.99388540927886,-1754.146432,28.107843190120263,0.42384162079766846,95,random,2.828196799964644,
426,True,2601,2500,54.28488761068388,-2833.056256,43.93130282236277,0.4120456559193607,96,bimodal,3.044747699983418,
427,True,2601,2500,47.96923809259886,-2305.886464,44.11675214531299,0.9746948927814878,25,random,0.9172066999599338,
428,True,2601,2500,69.35455986224952,-2688.564992,47.33841356233915,0.7194375923561013,69,bimodal,2.286407000035979,
429,True,2601,2500,6.230188790931446,-1000.339904,44.321584315777855,0.33044148934999423,20,sparse,0.6991710000438616,
430,True,2601,2500,62.45868537275459,-3851.875328,51.1847180254246,0.7996459869061777,54,random,1.7116206999635324,
431,True,2601,2500,67.40614877935434,-2474.527744,27.02477833188476,0.8869973889758416,72,gradient,2.2486077999928966,
432,True,2601,2500,94.6805155517522,-4673.637888,48.0409517014473,0.7125805153071867,111,random,3.5319329000194557,
433,True,2601,2500,88.30238906388355,-3551.18336,37.94168478215087,0.7197148340642309,115,random,3.667746099992655,
434,True,2601,2500,90.08739965332278,-4570.15808,33.13902313145546,0.7689072668544247,108,gradient,3.324612500029616,
435,True,2601,2500,64.92823269436039,-2254.750464,51.72297970467653,0.5838551370496425,60,gradient,1.6761461999849416,
436,True,2601,2500,69.48247498673634,-2976.011264,33.948618345526896,0.5991991550838296,91,sparse,2.796410000009928,
437,True,2601,2500,88.13835079023491,-4473.078272,33.668151861085256,0.8518020542824996,106,sparse,3.382707200013101,
438,True,2601,2500,77.87381973523117,-4799.299072,55.06704319789468,0.7794560870657875,70,sparse,2.1218891999451444,
439,True,2601,2500,81.38410526791714,-4893.56544,59.01106681348118,0.6888960153321999,105,random,3.3155051000067033,
440,True,2601,2500,30.605459502760723,-2690.574848,59.16502292723927,0.34553001151667556,61,sparse,2.0693128000129946,
441,True,2601,2500,32.67494614169725,-1593.54048,32.17723503725199,0.6836879941566295,36,sparse,1.091523299983237,
442,True,2601,2500,65.41033150765139,-2855.622144,40.015309107035634,0.8550687678441297,33,bimodal,1.0633889000164345,
443,True,2601,2500,14.386733666809837,-1225.05152,27.286687765984958,0.6091440526457893,23,sparse,0.7322619000333361,
444,True,2601,2500,18.491805838834484,-1697.467392,53.84889328481575,0.37968733529520576,40,sparse,1.3065512999892235,
445,True,2601,2500,20.888314995536827,-1788.04608,43.38852124101216,0.3160736683516025,83,gradient,2.709822999953758,
446,True,2601,2500,89.68531300841929,-5080.150016,50.545615611471284,0.8145638672872881,80,uniform,2.5363423000089824,
447,True,2601,2500,92.655794809353,-4788.00128,47.37150187880643,0.7745080619242554,111,random,3.421536299982108,
448,True,2601,2500,18.198031655426426,-1457.741312,26.13420137468963,0.37767773334193966,67,gradient,2.201314400008414,
449,True,2601,2500,39.5259457431657,-2055.006464,56.12044332547467,0.4177825231766473,93,uniform,3.019019400002435,
450,True,2601,2500,14.343916435246706,-1535.977216,42.23259036913138,0.3313135520995359,57,uniform,1.7713878999929875,
451,True,2601,2500,38.484483295810875,-2672.174592,39.05721187038129,0.43351448502153317,115,random,3.321364999981597,
452,True,2601,2500,13.477918266657408,-2388.050432,58.58676496463391,0.3234165208170221,38,gradient,1.142444199998863,
453,True,2601,2500,60.057081131936194,-3729.172736,31.48210549390099,0.6129491876776602,98,sparse,3.1876972999889404,
454,True,2601,2500,34.500289335510416,-1551.512064,28.95155035865785,0.6456259259883678,38,uniform,0.9944676000159234,
455,True,2601,2500,96.46307957774121,-5043.414528,39.30047480516578,0.9981033806931883,73,sparse,2.223169799952302,
456,True,2601,2500,82.07568965644518,-3208.38656,41.438563552766794,0.6133587087099858,103,random,3.2320297999540344,
457,True,2601,2500,89.0857939349797,-3417.982976,38.3083297113818,0.8881778560594997,65,random,2.0546277000103146,
